etf,year_value,year_name,percentile,return
1x,3,3yr,55,0.2669586533555943
1x,3,3yr,56,0.273482500977702
1x,3,3yr,57,0.2806660683268165
1x,3,3yr,58,0.2878230446890431
1x,3,3yr,59,0.2944910493307775
1x,3,3yr,60,0.3014023276528288
1x,3,3yr,61,0.30837929568914135
1x,3,3yr,62,0.31541407015173584
1x,3,3yr,63,0.32242011649759217
1x,3,3yr,64,0.32981824055954423
1x,3,3yr,65,0.33774038172358667
1x,3,3yr,66,0.3456520628287807
1x,3,3yr,67,0.35311549156483424
1x,3,3yr,68,0.36109317480060676
1x,3,3yr,69,0.3688664976971716
1x,3,3yr,70,0.3773083251227385
1x,3,3yr,71,0.38603897205223325
1x,3,3yr,72,0.39447455807117504
1x,3,3yr,73,0.4032605812381327
1x,3,3yr,74,0.4124411681229414
1x,3,3yr,75,0.4216800807079668
1x,3,3yr,76,0.43080219644160045
1x,3,3yr,77,0.4401936030614908
1x,3,3yr,78,0.449728574270984
1x,3,3yr,79,0.45970294647971666
1x,3,3yr,80,0.4710064163150205
1x,3,3yr,81,0.48205682987895027
1x,3,3yr,82,0.4932907017519512
1x,3,3yr,83,0.5061769399634624
1x,3,3yr,84,0.517526701155129
1x,3,3yr,85,0.5305225874647195
1x,3,3yr,86,0.5444867997026608
1x,3,3yr,87,0.5597779626157378
1x,3,3yr,88,0.5761267907846077
1x,3,3yr,89,0.5924152589881853
1x,3,3yr,90,0.6109181852302121
1x,3,3yr,91,0.6313219335492508
1x,3,3yr,92,0.6535512418417193
1x,3,3yr,93,0.6764449385152906
1x,3,3yr,94,0.704554675304568
1x,3,3yr,95,0.7357567671457292
1x,3,3yr,96,0.7736871190920349
1x,3,3yr,97,0.8235699458804537
1x,3,3yr,98,0.8954837285754227
1x,3,3yr,99,1.0052797066044388
1x,3,3yr,100,2.498287270863651
1x,5,5yr,0,-0.5952600055349899
1x,5,5yr,1,-0.23575335980536172
1x,5,5yr,2,-0.18077464627954498
1x,5,5yr,3,-0.14167562598743388
1x,5,5yr,4,-0.11203908107823524
1x,5,5yr,5,-0.08599777963585731
1x,5,5yr,6,-0.06364018316222853
1x,5,5yr,7,-0.04350805758965426
1x,5,5yr,8,-0.025531014217338277
1x,5,5yr,9,-0.008443599003571944
1x,5,5yr,10,0.0070096781756490145
1x,5,5yr,11,0.02135322860043254
1x,5,5yr,12,0.03557780441488734
1x,5,5yr,13,0.04883937775278002
1x,5,5yr,14,0.06278625914358371
1x,5,5yr,15,0.0757710782578267
1x,5,5yr,16,0.0881599783794953
1x,5,5yr,17,0.10027925913267488
1x,5,5yr,18,0.11180342864284176
1x,5,5yr,19,0.12273317308199228
1x,5,5yr,20,0.13376249573953225
1x,5,5yr,21,0.14440020274427456
1x,5,5yr,22,0.155798901605815
1x,5,5yr,23,0.16610268074906842
1x,5,5yr,24,0.17608531699197671
1x,5,5yr,25,0.18607692185872593
1x,5,5yr,26,0.19538144098173627
1x,5,5yr,27,0.20508397288366442
1x,5,5yr,28,0.21506101082253726
1x,5,5yr,29,0.22493002308680965
1x,5,5yr,30,0.23456538691948614
1x,5,5yr,31,0.24451237467480058
1x,5,5yr,32,0.2538748778291111
1x,5,5yr,33,0.26284926115215224
1x,5,5yr,34,0.272301580409688
1x,5,5yr,35,0.2813553829260851
1x,5,5yr,36,0.2902567505062881
1x,5,5yr,37,0.29925495099402855
1x,5,5yr,38,0.3087811216573175
1x,5,5yr,39,0.3178559873354947
1x,5,5yr,40,0.32735030908525986
1x,5,5yr,41,0.33693108303205777
1x,5,5yr,42,0.3458778284133519
1x,5,5yr,43,0.3555755041668811
1x,5,5yr,44,0.3642405370833057
1x,5,5yr,45,0.37322582722959674
1x,5,5yr,46,0.3825487960977958
1x,5,5yr,47,0.3921873714412871
1x,5,5yr,48,0.4019592405193948
1x,5,5yr,49,0.4116761574662122
1x,5,5yr,50,0.4210179984733271
1x,5,5yr,51,0.43004562970094873
1x,5,5yr,52,0.4397962012266965
1x,5,5yr,53,0.4489111098643681
1x,5,5yr,54,0.45883434383535815
1x,5,5yr,55,0.4690720365315768
1x,5,5yr,56,0.4794539290731783
1x,5,5yr,57,0.489524927035069
1x,5,5yr,58,0.49950499079149524
1x,5,5yr,59,0.5102907557789007
1x,5,5yr,60,0.5207820938264964
1x,5,5yr,61,0.5313988646372085
1x,5,5yr,62,0.5425914148626416
1x,5,5yr,63,0.5531675440813204
1x,5,5yr,64,0.5639621525657841
1x,5,5yr,65,0.5745075989582189
1x,5,5yr,66,0.5857904542759222
1x,5,5yr,67,0.5978705555360637
1x,5,5yr,68,0.6094734183630293
1x,5,5yr,69,0.6216185299890853
1x,5,5yr,70,0.6341992097149189
1x,5,5yr,71,0.6467851124100181
1x,5,5yr,72,0.6601879217560096
1x,5,5yr,73,0.6740683001669996
1x,5,5yr,74,0.6877794432457347
1x,5,5yr,75,0.7020709543440928
1x,5,5yr,76,0.7162058043701425
1x,5,5yr,77,0.7310583765549088
1x,5,5yr,78,0.7467952099861932
1x,5,5yr,79,0.7627779091303561
1x,5,5yr,80,0.7794253347567532
1x,5,5yr,81,0.7963632374161973
1x,5,5yr,82,0.8146728067287321
1x,5,5yr,83,0.8337076779263255
1x,5,5yr,84,0.853766470656117
1x,5,5yr,85,0.8742671805115982
1x,5,5yr,86,0.8975166864855686
1x,5,5yr,87,0.9226389535037924
1x,5,5yr,88,0.9466493596495782
1x,5,5yr,89,0.9730237599762279
1x,5,5yr,90,1.001945702490468
1x,5,5yr,91,1.034513049565036
1x,5,5yr,92,1.0693006738296824
1x,5,5yr,93,1.1101291363662291
1x,5,5yr,94,1.1546560959492096
1x,5,5yr,95,1.209838333575791
1x,5,5yr,96,1.2721447018433043
1x,5,5yr,97,1.3565868990483412
1x,5,5yr,98,1.4641836426116588
1x,5,5yr,99,1.6508701930616625
1x,5,5yr,100,3.4190754525391966
1x,10,10yr,0,-0.6614957152073806
1x,10,10yr,1,-0.1597733329851153
1x,10,10yr,2,-0.06893727589243481
1x,10,10yr,3,-0.007896662017225053
1x,10,10yr,4,0.04089804210843906
1x,10,10yr,5,0.08505117496656611
1x,10,10yr,6,0.12064095443422529
1x,10,10yr,7,0.1544223986708535
1x,10,10yr,8,0.1854646445930619
1x,10,10yr,9,0.21450604412610264
1x,10,10yr,10,0.2426357390673184
1x,10,10yr,11,0.2692071817594057
1x,10,10yr,12,0.29415741675185103
1x,10,10yr,13,0.31630602463768676
1x,10,10yr,14,0.3398902482617041
1x,10,10yr,15,0.3615024395935671
1x,10,10yr,16,0.3842909697970709
1x,10,10yr,17,0.4055094322640831
1x,10,10yr,18,0.4261038974082567
1x,10,10yr,19,0.4466842092616634
1x,10,10yr,20,0.4675858242183255
1x,10,10yr,21,0.4875150006891973
1x,10,10yr,22,0.5061109837497029
1x,10,10yr,23,0.5251844870236715
1x,10,10yr,24,0.5441103048751041
1x,10,10yr,25,0.5626295692118051
1x,10,10yr,26,0.5816744275249615
1x,10,10yr,27,0.5988254528041848
1x,10,10yr,28,0.6166147845583223
1x,10,10yr,29,0.635096418833887
1x,10,10yr,30,0.6529583674912021
1x,10,10yr,31,0.6716833152038149
1x,10,10yr,32,0.6901127085730987
1x,10,10yr,33,0.7082276208089433
1x,10,10yr,34,0.7268014707498596
1x,10,10yr,35,0.7444566973663167
1x,10,10yr,36,0.7624548754842857
1x,10,10yr,37,0.7815729934481503
1x,10,10yr,38,0.7994131089442305
1x,10,10yr,39,0.8179555103678318
1x,10,10yr,40,0.8347500979634834
1x,10,10yr,41,0.8527482171284815
1x,10,10yr,42,0.8703442527170089
1x,10,10yr,43,0.8884428598413501
1x,10,10yr,44,0.906044549907298
1x,10,10yr,45,0.925389403202022
1x,10,10yr,46,0.9435311904131347
1x,10,10yr,47,0.9620224700538011
1x,10,10yr,48,0.9811212035569961
1x,10,10yr,49,0.9997319178742947
1x,10,10yr,50,1.0189790817521587
1x,10,10yr,51,1.039363659682965
1x,10,10yr,52,1.0581012581108475
1x,10,10yr,53,1.0771987825234866
1x,10,10yr,54,1.0973960700641578
1x,10,10yr,55,1.1171302668255247
1x,10,10yr,56,1.1376633977862016
1x,10,10yr,57,1.1575403668894628
1x,10,10yr,58,1.1772110394518251
1x,10,10yr,59,1.1988401497524332
1x,10,10yr,60,1.2196538439214533
1x,10,10yr,61,1.2422857765743074
1x,10,10yr,62,1.2660044929642504
1x,10,10yr,63,1.288864589468286
1x,10,10yr,64,1.3120395427761973
1x,10,10yr,65,1.3339748599593797
1x,10,10yr,66,1.3593140626155527
1x,10,10yr,67,1.38491947805018
1x,10,10yr,68,1.4095575936256242
1x,10,10yr,69,1.4348219166332314
1x,10,10yr,70,1.4614565460997282
1x,10,10yr,71,1.4887000880417873
1x,10,10yr,72,1.5157349262443423
1x,10,10yr,73,1.5447650320556665
1x,10,10yr,74,1.5748203917946673
1x,10,10yr,75,1.6052502957207966
1x,10,10yr,76,1.6370600873793384
1x,10,10yr,77,1.6683672455519174
1x,10,10yr,78,1.7022549446669388
1x,10,10yr,79,1.7379535242818096
1x,10,10yr,80,1.7740768250050833
1x,10,10yr,81,1.812233984947044
1x,10,10yr,82,1.851080208580945
1x,10,10yr,83,1.8910511272821307
1x,10,10yr,84,1.9346692139588568
1x,10,10yr,85,1.9828156959688896
1x,10,10yr,86,2.0344670866286947
1x,10,10yr,87,2.0889866563538333
1x,10,10yr,88,2.1435663752557383
1x,10,10yr,89,2.204663798498598
1x,10,10yr,90,2.271131109676516
1x,10,10yr,91,2.3433099484010587
1x,10,10yr,92,2.426587109987278
1x,10,10yr,93,2.518309360049142
1x,10,10yr,94,2.6273515761125683
1x,10,10yr,95,2.7526874402176755
1x,10,10yr,96,2.9054404722840967
1x,10,10yr,97,3.0968062028256966
1x,10,10yr,98,3.379888425257003
1x,10,10yr,99,3.8971450186624184
1x,10,10yr,100,8.233051931673366
1x,15,15yr,0,-0.6890028966371924
1x,15,15yr,1,-0.029565743990152993
1x,15,15yr,2,0.104514046920402
1x,15,15yr,3,0.19723308538085105
1x,15,15yr,4,0.2762720466610491
1x,15,15yr,5,0.33491761721396474
1x,15,15yr,6,0.39048617825336396
1x,15,15yr,7,0.4391933880672616
1x,15,15yr,8,0.48289423537839693
1x,15,15yr,9,0.5286366529791415
1x,15,15yr,10,0.5719392920307111
1x,15,15yr,11,0.6138789884001012
1x,15,15yr,12,0.6539535438650308
1x,15,15yr,13,0.6902729586651373
1x,15,15yr,14,0.727441985942836
1x,15,15yr,15,0.7637076268178276
1x,15,15yr,16,0.7993634272386696
1x,15,15yr,17,0.8343693860213803
1x,15,15yr,18,0.867687428263294
1x,15,15yr,19,0.899796049692549
1x,15,15yr,20,0.9334049002419027
1x,15,15yr,21,0.964631482875417
1x,15,15yr,22,0.9990585281151747
1x,15,15yr,23,1.0295812428859872
1x,15,15yr,24,1.0622203863126836
1x,15,15yr,25,1.0935240914961342
1x,15,15yr,26,1.1258644031302794
1x,15,15yr,27,1.1565217251866167
1x,15,15yr,28,1.188614818528218
1x,15,15yr,29,1.2204009838994772
1x,15,15yr,30,1.2519906088308916
1x,15,15yr,31,1.2832209532149186
1x,15,15yr,32,1.313538313355147
1x,15,15yr,33,1.3426158611461632
1x,15,15yr,34,1.3714371515429686
1x,15,15yr,35,1.4022831619994376
1x,15,15yr,36,1.4330997763780373
1x,15,15yr,37,1.4664537722691713
1x,15,15yr,38,1.4973840269110394
1x,15,15yr,39,1.5290875127914894
1x,15,15yr,40,1.5610667254969224
1x,15,15yr,41,1.590897535729391
1x,15,15yr,42,1.6200421260431384
1x,15,15yr,43,1.6507541011040225
1x,15,15yr,44,1.6811286395510314
1x,15,15yr,45,1.7131674373726904
1x,15,15yr,46,1.746711983331036
1x,15,15yr,47,1.7782736912584145
1x,15,15yr,48,1.8102471893046252
1x,15,15yr,49,1.8431780227095085
1x,15,15yr,50,1.874884597557811
1x,15,15yr,51,1.9089896280412977
1x,15,15yr,52,1.9426054310444476
1x,15,15yr,53,1.9771791067506985
1x,15,15yr,54,2.012721159135809
1x,15,15yr,55,2.0461718426467663
1x,15,15yr,56,2.08221409230179
1x,15,15yr,57,2.1176519545701282
1x,15,15yr,58,2.153423224954314
1x,15,15yr,59,2.1920624089977183
1x,15,15yr,60,2.2297946526699985
1x,15,15yr,61,2.266813381228449
1x,15,15yr,62,2.3083748591714865
1x,15,15yr,63,2.34973308748086
1x,15,15yr,64,2.3891401003918364
1x,15,15yr,65,2.4307133993317036
1x,15,15yr,66,2.4717732894727353
1x,15,15yr,67,2.5150413250826467
1x,15,15yr,68,2.559197923018848
1x,15,15yr,69,2.604333704071161
1x,15,15yr,70,2.6523343104228694
1x,15,15yr,71,2.702008321296155
1x,15,15yr,72,2.751410849440044
1x,15,15yr,73,2.8051019073910766
1x,15,15yr,74,2.8589445814089136
1x,15,15yr,75,2.9190404113518076
1x,15,15yr,76,2.9784696735969383
1x,15,15yr,77,3.0374234809304372
1x,15,15yr,78,3.100896561613572
1x,15,15yr,79,3.1683425226534174
1x,15,15yr,80,3.2321793484045545
1x,15,15yr,81,3.301439254615226
1x,15,15yr,82,3.3731049256007557
1x,15,15yr,83,3.456255263785877
1x,15,15yr,84,3.538994890762024
1x,15,15yr,85,3.629226841773959
1x,15,15yr,86,3.73171519365268
1x,15,15yr,87,3.8323521242868157
1x,15,15yr,88,3.9377695407929183
1x,15,15yr,89,4.0586909244633755
1x,15,15yr,90,4.182999727052838
1x,15,15yr,91,4.332971966166819
1x,15,15yr,92,4.49639132134762
1x,15,15yr,93,4.689873816526495
1x,15,15yr,94,4.898680341194407
1x,15,15yr,95,5.139140795009029
1x,15,15yr,96,5.433314833001285
1x,15,15yr,97,5.850428254596927
1x,15,15yr,98,6.391638880083252
1x,15,15yr,99,7.426831319252271
1x,15,15yr,100,20.609780440804723
1x,20,20yr,0,-0.5658002626049234
1x,20,20yr,1,0.1575307238233754
1x,20,20yr,2,0.3441566427853646
1x,20,20yr,3,0.46664834159166313
1x,20,20yr,4,0.5710328590266938
1x,20,20yr,5,0.6714478320342969
1x,20,20yr,6,0.7504335162989539
1x,20,20yr,7,0.8245958146485461
1x,20,20yr,8,0.897841575148355
1x,20,20yr,9,0.9669432534923388
1x,20,20yr,10,1.0330595284232165
1x,20,20yr,11,1.095854237031591
1x,20,20yr,12,1.1532310611939862
1x,20,20yr,13,1.212106176505357
1x,20,20yr,14,1.2704833482036606
1x,20,20yr,15,1.3255198550226859
1x,20,20yr,16,1.380630056739507
1x,20,20yr,17,1.4338025905659193
1x,20,20yr,18,1.4829175884770711
1x,20,20yr,19,1.5331440729576058
1x,20,20yr,20,1.5854666933504329
1x,20,20yr,21,1.6374843475326188
1x,20,20yr,22,1.6895317742730458
1x,20,20yr,23,1.7389349291130798
1x,20,20yr,24,1.7872433526051985
1x,20,20yr,25,1.8358195861448934
1x,20,20yr,26,1.8857703695243941
1x,20,20yr,27,1.9327531520934853
1x,20,20yr,28,1.979288421819219
1x,20,20yr,29,2.0285854867933826
1x,20,20yr,30,2.0775345592178978
1x,20,20yr,31,2.1274555864653797
1x,20,20yr,32,2.175896942184508
1x,20,20yr,33,2.222169408864119
1x,20,20yr,34,2.2692012492101643
1x,20,20yr,35,2.3182574239378027
1x,20,20yr,36,2.366968185708822
1x,20,20yr,37,2.415773448870788
1x,20,20yr,38,2.465047312026277
1x,20,20yr,39,2.5160136192665385
1x,20,20yr,40,2.5634655321428803
1x,20,20yr,41,2.6150486336004786
1x,20,20yr,42,2.6676629476564115
1x,20,20yr,43,2.72002260983083
1x,20,20yr,44,2.772300062699803
1x,20,20yr,45,2.8244765599973265
1x,20,20yr,46,2.8798265336543705
1x,20,20yr,47,2.934885357821865
1x,20,20yr,48,2.990137008545356
1x,20,20yr,49,3.046311958672847
1x,20,20yr,50,3.1030183934035023
1x,20,20yr,51,3.1591715882262372
1x,20,20yr,52,3.212729572451975
1x,20,20yr,53,3.26765059596654
1x,20,20yr,54,3.3263982622744956
1x,20,20yr,55,3.3853156756084575
1x,20,20yr,56,3.4429609016861438
1x,20,20yr,57,3.502347997427795
1x,20,20yr,58,3.560661114342481
1x,20,20yr,59,3.6224615301393825
1x,20,20yr,60,3.686961450787959
1x,20,20yr,61,3.7498741626795056
1x,20,20yr,62,3.809290939640408
1x,20,20yr,63,3.8768123002421833
1x,20,20yr,64,3.9460554456808588
1x,20,20yr,65,4.018220805485286
1x,20,20yr,66,4.090273853755182
1x,20,20yr,67,4.1652187792438
1x,20,20yr,68,4.242967797820362
1x,20,20yr,69,4.3201919992642415
1x,20,20yr,70,4.3999187096177295
1x,20,20yr,71,4.485086444540235
1x,20,20yr,72,4.572547821988315
1x,20,20yr,73,4.659366285096821
1x,20,20yr,74,4.755276201491231
1x,20,20yr,75,4.851700209128799
1x,20,20yr,76,4.948375540750945
1x,20,20yr,77,5.049759882764961
1x,20,20yr,78,5.15355128808183
1x,20,20yr,79,5.268929370079669
1x,20,20yr,80,5.388415458333694
1x,20,20yr,81,5.5115814514999
1x,20,20yr,82,5.648858643023979
1x,20,20yr,83,5.794055056743723
1x,20,20yr,84,5.9464043078143085
1x,20,20yr,85,6.102504056596948
1x,20,20yr,86,6.2726748118982645
1x,20,20yr,87,6.458905279504812
1x,20,20yr,88,6.6547420651109706
1x,20,20yr,89,6.8600711480022705
1x,20,20yr,90,7.086792601787204
1x,20,20yr,91,7.347654814662823
1x,20,20yr,92,7.641616132825723
1x,20,20yr,93,7.962997994805253
1x,20,20yr,94,8.34424260692
1x,20,20yr,95,8.809438689122418
1x,20,20yr,96,9.38094263474737
1x,20,20yr,97,10.129113155069412
1x,20,20yr,98,11.200343210471955
1x,20,20yr,99,13.057626566287253
1x,20,20yr,100,40.59161834013002
1x,30,30yr,0,-0.5994150154175608
1x,30,30yr,1,0.7293829040066884
1x,30,30yr,2,1.0705613744548104
1x,30,30yr,3,1.3366319030957796
1x,30,30yr,4,1.5494737580254978
1x,30,30yr,5,1.736564991095125
1x,30,30yr,6,1.8999933268692892
1x,30,30yr,7,2.0616008707104494
1x,30,30yr,8,2.2126056933506733
1x,30,30yr,9,2.3660371278329593
1x,30,30yr,10,2.510366930876349
1x,30,30yr,11,2.65222850446735
1x,30,30yr,12,2.778424799578908
1x,30,30yr,13,2.910172209059293
1x,30,30yr,14,3.038079471370356
1x,30,30yr,15,3.1578873761178077
1x,30,30yr,16,3.2684483529873383
1x,30,30yr,17,3.3911333333138503
1x,30,30yr,18,3.506396685575618
1x,30,30yr,19,3.6176812829751963
1x,30,30yr,20,3.729285561650812
1x,30,30yr,21,3.838938600142029
1x,30,30yr,22,3.9497799709967163
1x,30,30yr,23,4.064184495961913
1x,30,30yr,24,4.168078909059985
1x,30,30yr,25,4.278182423309393
1x,30,30yr,26,4.381927623322377
1x,30,30yr,27,4.497272182533102
1x,30,30yr,28,4.607420216423008
1x,30,30yr,29,4.719212663766369
1x,30,30yr,30,4.820668565128797
1x,30,30yr,31,4.931874332875704
1x,30,30yr,32,5.047552357140029
1x,30,30yr,33,5.160417657521088
1x,30,30yr,34,5.2732388410769255
1x,30,30yr,35,5.3863618347074596
1x,30,30yr,36,5.499692674695181
1x,30,30yr,37,5.623269032931944
1x,30,30yr,38,5.739617241290692
1x,30,30yr,39,5.853753638309004
1x,30,30yr,40,5.968964489946058
1x,30,30yr,41,6.090014703762361
1x,30,30yr,42,6.211453574942542
1x,30,30yr,43,6.336518979751081
1x,30,30yr,44,6.46093758632684
1x,30,30yr,45,6.584339193296358
1x,30,30yr,46,6.711601967410933
1x,30,30yr,47,6.84048446032999
1x,30,30yr,48,6.971407222421695
1x,30,30yr,49,7.098927051755137
1x,30,30yr,50,7.23357194554881
1x,30,30yr,51,7.373085940453542
1x,30,30yr,52,7.514723763785629
1x,30,30yr,53,7.6603356837728835
1x,30,30yr,54,7.799022337049042
1x,30,30yr,55,7.944517306876357
1x,30,30yr,56,8.099407166484875
1x,30,30yr,57,8.259229266969216
1x,30,30yr,58,8.414714388997727
1x,30,30yr,59,8.565514712592254
1x,30,30yr,60,8.722902261300295
1x,30,30yr,61,8.892295720826345
1x,30,30yr,62,9.061991962143429
1x,30,30yr,63,9.23634359194703
1x,30,30yr,64,9.41504734962621
1x,30,30yr,65,9.602557793545738
1x,30,30yr,66,9.783438631652677
1x,30,30yr,67,9.973272228209716
1x,30,30yr,68,10.180689004634715
1x,30,30yr,69,10.40644609947412
1x,30,30yr,70,10.615631682264194
1x,30,30yr,71,10.830433235010839
1x,30,30yr,72,11.07085368418632
1x,30,30yr,73,11.311798730249647
1x,30,30yr,74,11.566769331823133
1x,30,30yr,75,11.825723480338423
1x,30,30yr,76,12.102776721166501
1x,30,30yr,77,12.379080055875725
1x,30,30yr,78,12.662428643252166
1x,30,30yr,79,12.973987621417182
1x,30,30yr,80,13.317999264763857
1x,30,30yr,81,13.66216352657128
1x,30,30yr,82,14.031862145902267
1x,30,30yr,83,14.42527678045266
1x,30,30yr,84,14.830091813439036
1x,30,30yr,85,15.299373813106783
1x,30,30yr,86,15.760163079712193
1x,30,30yr,87,16.27457625689226
1x,30,30yr,88,16.81721938536879
1x,30,30yr,89,17.480604664570816
1x,30,30yr,90,18.148224831292833
1x,30,30yr,91,18.917429848229617
1x,30,30yr,92,19.7486204513412
1x,30,30yr,93,20.77032457997382
1x,30,30yr,94,21.93822823207203
1x,30,30yr,95,23.262586878606868
1x,30,30yr,96,25.054274579890755
