etf,year_value,year_name,percentile,return
1x,3,3yr,56,0.27208440613782603
1x,3,3yr,57,0.27881122365474287
1x,3,3yr,58,0.2855698929125108
1x,3,3yr,59,0.29238767364480167
1x,3,3yr,60,0.2994011021736891
1x,3,3yr,61,0.30654697453693736
1x,3,3yr,62,0.313601613558411
1x,3,3yr,63,0.32070200270018856
1x,3,3yr,64,0.32815218229754506
1x,3,3yr,65,0.3357532347784875
1x,3,3yr,66,0.3433152655699676
1x,3,3yr,67,0.3510386908554861
1x,3,3yr,68,0.35891555776436546
1x,3,3yr,69,0.3669591621407986
1x,3,3yr,70,0.37514137592017915
1x,3,3yr,71,0.38338573653587105
1x,3,3yr,72,0.39186029530474875
1x,3,3yr,73,0.40034356453730013
1x,3,3yr,74,0.4093557386585782
1x,3,3yr,75,0.4186240893802884
1x,3,3yr,76,0.4279318672452159
1x,3,3yr,77,0.43776051798238447
1x,3,3yr,78,0.4478399877328345
1x,3,3yr,79,0.45808437552586967
1x,3,3yr,80,0.4689532908194183
1x,3,3yr,81,0.4800314227919984
1x,3,3yr,82,0.49144810619668666
1x,3,3yr,83,0.503580781655947
1x,3,3yr,84,0.5161100630607676
1x,3,3yr,85,0.5296191672914203
1x,3,3yr,86,0.5438046400156626
1x,3,3yr,87,0.5588778863488872
1x,3,3yr,88,0.5745828982550427
1x,3,3yr,89,0.5916790059340209
1x,3,3yr,90,0.6099014849183328
1x,3,3yr,91,0.6297983031097667
1x,3,3yr,92,0.6518947339024517
1x,3,3yr,93,0.6764112454767586
1x,3,3yr,94,0.70378264985321
1x,3,3yr,95,0.7361059084483472
1x,3,3yr,96,0.7746816671307704
1x,3,3yr,97,0.8236349947401767
1x,3,3yr,98,0.890192481817526
1x,3,3yr,99,1.003308744533184
1x,3,3yr,100,2.6345982416836184
1x,5,5yr,0,-0.5872624734423373
1x,5,5yr,1,-0.2401892660359477
1x,5,5yr,2,-0.18268633194353168
1x,5,5yr,3,-0.1447079425142579
1x,5,5yr,4,-0.11425397333295317
1x,5,5yr,5,-0.08836521173842637
1x,5,5yr,6,-0.06594875390695787
1x,5,5yr,7,-0.045830097245475265
1x,5,5yr,8,-0.027564535326102146
1x,5,5yr,9,-0.010783738194848347
1x,5,5yr,10,0.004971845375069339
1x,5,5yr,11,0.020041618068546763
1x,5,5yr,12,0.034360476636071224
1x,5,5yr,13,0.048055727263164316
1x,5,5yr,14,0.06129600161239934
1x,5,5yr,15,0.07381187970930037
1x,5,5yr,16,0.08600703603423265
1x,5,5yr,17,0.09762315627710438
1x,5,5yr,18,0.10893387718316383
1x,5,5yr,19,0.12024459039554225
1x,5,5yr,20,0.1311424615818837
1x,5,5yr,21,0.14186352532351498
1x,5,5yr,22,0.1524237554477874
1x,5,5yr,23,0.16301092587252874
1x,5,5yr,24,0.17335781249814253
1x,5,5yr,25,0.18331905209641963
1x,5,5yr,26,0.193211159803093
1x,5,5yr,27,0.20295416966318536
1x,5,5yr,28,0.21258538119060022
1x,5,5yr,29,0.22226363320439724
1x,5,5yr,30,0.2318757085697487
1x,5,5yr,31,0.2412255307667004
1x,5,5yr,32,0.25052725441530566
1x,5,5yr,33,0.25986422744254956
1x,5,5yr,34,0.26914015000528835
1x,5,5yr,35,0.278231791406784
1x,5,5yr,36,0.28752549142840644
1x,5,5yr,37,0.2968332997856782
1x,5,5yr,38,0.3059290695572119
1x,5,5yr,39,0.31509847246489286
1x,5,5yr,40,0.32423888513382404
1x,5,5yr,41,0.33351338507437767
1x,5,5yr,42,0.34264805301418577
1x,5,5yr,43,0.3520129232230922
1x,5,5yr,44,0.36119488639966746
1x,5,5yr,45,0.3704912481863827
1x,5,5yr,46,0.37978866878089335
1x,5,5yr,47,0.3890669534393578
1x,5,5yr,48,0.39848080673794417
1x,5,5yr,49,0.4079392067462604
1x,5,5yr,50,0.41736909681865875
1x,5,5yr,51,0.4268554355013656
1x,5,5yr,52,0.43642776131045524
1x,5,5yr,53,0.4463197022346126
1x,5,5yr,54,0.45616657106700886
1x,5,5yr,55,0.46601564436650644
1x,5,5yr,56,0.475930124526011
1x,5,5yr,57,0.48615556831929685
1x,5,5yr,58,0.49633882487190517
1x,5,5yr,59,0.5066927530012166
1x,5,5yr,60,0.5170279567501954
1x,5,5yr,61,0.5278263969678487
1x,5,5yr,62,0.5386468225761569
1x,5,5yr,63,0.5494231367310682
1x,5,5yr,64,0.560322964167913
1x,5,5yr,65,0.5717124587668105
1x,5,5yr,66,0.5832995606580427
1x,5,5yr,67,0.5949355157405998
1x,5,5yr,68,0.6069230664867837
1x,5,5yr,69,0.6191712022489682
1x,5,5yr,70,0.6317554603588924
1x,5,5yr,71,0.6445380457440006
1x,5,5yr,72,0.6576554477551
1x,5,5yr,73,0.670965909324917
1x,5,5yr,74,0.684638311329895
1x,5,5yr,75,0.6988510157242347
1x,5,5yr,76,0.713574657527416
1x,5,5yr,77,0.7286439137861587
1x,5,5yr,78,0.7440487681214634
1x,5,5yr,79,0.7603048083271773
1x,5,5yr,80,0.7771603511932659
1x,5,5yr,81,0.7944141933825095
1x,5,5yr,82,0.8129125617036095
1x,5,5yr,83,0.8320231307164647
1x,5,5yr,84,0.8519499203985992
1x,5,5yr,85,0.8726425393677943
1x,5,5yr,86,0.8951419805471272
1x,5,5yr,87,0.9186124621042608
1x,5,5yr,88,0.9436113362376664
1x,5,5yr,89,0.9706878377991179
1x,5,5yr,90,1.0003813648715343
1x,5,5yr,91,1.0322889413056515
1x,5,5yr,92,1.067892786745845
1x,5,5yr,93,1.1080240875388165
1x,5,5yr,94,1.1527134577779163
1x,5,5yr,95,1.2062932029818128
1x,5,5yr,96,1.2712179977857625
1x,5,5yr,97,1.3526189072920962
1x,5,5yr,98,1.4652707259940057
1x,5,5yr,99,1.653243523278349
1x,5,5yr,100,4.966837888862445
1x,10,10yr,0,-0.672312950279389
1x,10,10yr,1,-0.16588786293480695
1x,10,10yr,2,-0.07501601953939518
1x,10,10yr,3,-0.013917456857822419
1x,10,10yr,4,0.035289166741770295
1x,10,10yr,5,0.07745840233550871
1x,10,10yr,6,0.11465004266520484
1x,10,10yr,7,0.14823444318803936
1x,10,10yr,8,0.17880440221547889
1x,10,10yr,9,0.20807616955762898
1x,10,10yr,10,0.23591857630481994
1x,10,10yr,11,0.2621013918428221
1x,10,10yr,12,0.28661465984597223
1x,10,10yr,13,0.3102184129924619
1x,10,10yr,14,0.33343474988023125
1x,10,10yr,15,0.35585714872914176
1x,10,10yr,16,0.3777546918467791
1x,10,10yr,17,0.3992582827976836
1x,10,10yr,18,0.4200183797660073
